J4	53.34	151.31	180.00	KH-TYPE-C-16P	KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1	68.58	134.62	0.00	3.9nH	NORDIC_NRF_2_RESC0402_L
L2	54.61	143.51	0.00	10µH	NORDIC_NRF_2_RESC0402_L
L3	54.61	144.78	0.00	15nH	NORDIC_NRF_2_RESC0402_L
L5	44.45	148.59	0.00	68uH	NORDIC_NRF_2_RESC0402_L
L7	49.53	135.89	0.00	FTC252012SR47MBCA	MLP2016SR47MT0S1_INDC2016X100N
Q3	43.18	147.32	0.00	SI1308EDL-T1-GE3	ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17	66.04	148.59	0.00	3K3	CPF0201D7K68C1_0201
R18	66.04	146.05	0.00	3K3	CPF0201D7K68C1_0201
R1_EP_DR	43.18	149.86	0.00	0.47	ERA-1AEB3401C_0201
R1_USB	54.61	147.32	0.00	5K1	CPF0201D7K68C1_0201
R2	46.99	143.51	0.00	0	CPF0201D7K68C1_0201
R2_EP_DR	40.64	148.59	0.00	10K	ERA-1AEB3401C_0201
R2_USB	52.07	147.32	0.00	5K1	ERA-1AEB3401C_0201
R3	67.31	148.59	0.00	0	ERA-1AEB3401C_0201
R4	46.99	144.78	0.00	0	CPF0201D7K68C1_0201
R5	41.91	125.73	0.00	10k	CPF0201D7K68C1_0201
R7	63.50	125.73	0.00	10k	CPF0201D7K68C1_0201
R8	52.07	125.73	0.00	10k	CPF0201D7K68C1_0201
R9	45.72	144.78	0.00	10K	ERA-1AEB3401C_0201
R_PWR_EPD	44.45	153.67	0.00	10K	CPF0201D7K68C1_0201
R_TYPE_SEL	40.64	147.32	0.00	2.2	ERA-1AEB3401C_0201
SJ1	38.10	147.32	0.00		ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN	63.50	123.56	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT	52.07	123.56	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP	41.91	123.56	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V	69.85	148.59	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_3V3	71.12	152.40	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_BAT_GND	34.29	152.40	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_GND	69.85	146.05	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_ON	35.56	127.00	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_OP	33.02	128.27	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_RESET	72.39	139.70	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SCL	66.04	151.13	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA	72.39	149.86	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWDCLK	72.39	142.24	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWDIO	72.39	144.78	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWO	72.39	147.32	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_VBAT	36.83	152.40	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_VREG	54.61	140.97	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
U1	55.88	135.89	0.00	NRF52840_QF	NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3	40.64	152.40	0.00	MAX17048G+T10	ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1	67.31	139.70	0.00	32MHz	NORDIC_NRF_BT-XTAL_2016_N
X2	48.26	139.70	0.00	32.768kHz 	NORDIC_NRF_1_XTAL_3215_N
