"Part";"Value";"Device";"Footprint Name";"Detailed Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"CHECK_PRICES";"COPYRIGHT";"DESCRIPTION";"DIGI-KEY_PART_NUMBER_1";"DIGI-KEY_PART_NUMBER_2";"DIGI-KEY_PART_NUMBER_3";"HEIGHT";"JLCPCB";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"SNAPEDA_LINK";"SPICEMODEL";"SPICEPREFIX";"TP_SIGNAL_NAME";"VALUE";
"C19";"100nF";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C20";"4.7µF";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_CC0402";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";"";"";
"C21";"4.7µF";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_CC0402";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";"";"";
"C22";"N.C.";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C23";"0.1uF";"GRM011R60J152KE01L_2_GRM011R60J152KE01L";"GRM011R60J152KE01L_2_CAPC0201X13N";"Check availability";"";"";"In Stock";"https://www.snapeda.com/parts/GRM011R60J152KE01L/Murata/view-part/?ref=eda";"";"                                                      SMD Capacitor X5R(EIA) with Capacitance: 1500pF Tol. 10%. Rated Voltage: 6.3Vdc                                              ";"";"";"";"";"";"";"";"Murata";"";"";"GRM011R60J152KE01L";"0201 Murata";"";"None";"";"";"https://www.snapeda.com/parts/GRM011R60J152KE01L/Murata/view-part/?ref=snap";"";"";"";"";
"C24";"10uF";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_CC0402";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";"";"";
"C25";"22uF";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_CC0402";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";"";"";
"C27";"0.1uF";"GRM011R60J152KE01L_2_GRM011R60J152KE01L";"GRM011R60J152KE01L_2_CAPC0201X13N";"Check availability";"";"";"In Stock";"https://www.snapeda.com/parts/GRM011R60J152KE01L/Murata/view-part/?ref=eda";"";"                                                      SMD Capacitor X5R(EIA) with Capacitance: 1500pF Tol. 10%. Rated Voltage: 6.3Vdc                                              ";"";"";"";"";"";"";"";"Murata";"";"";"GRM011R60J152KE01L";"0201 Murata";"";"None";"";"";"https://www.snapeda.com/parts/GRM011R60J152KE01L/Murata/view-part/?ref=snap";"";"";"";"";
"C29";"1uF";"GRM011R60J152KE01L_2_GRM011R60J152KE01L";"GRM011R60J152KE01L_2_CAPC0201X13N";"Check availability";"";"";"In Stock";"https://www.snapeda.com/parts/GRM011R60J152KE01L/Murata/view-part/?ref=eda";"";"                                                      SMD Capacitor X5R(EIA) with Capacitance: 1500pF Tol. 10%. Rated Voltage: 6.3Vdc                                              ";"";"";"";"";"";"";"";"Murata";"";"";"GRM011R60J152KE01L";"0201 Murata";"";"None";"";"";"https://www.snapeda.com/parts/GRM011R60J152KE01L/Murata/view-part/?ref=snap";"";"";"";"";
"C30";"1uF";"GRM011R60J152KE01L_2_GRM011R60J152KE01L";"GRM011R60J152KE01L_2_CAPC0201X13N";"Check availability";"";"";"In Stock";"https://www.snapeda.com/parts/GRM011R60J152KE01L/Murata/view-part/?ref=eda";"";"                                                      SMD Capacitor X5R(EIA) with Capacitance: 1500pF Tol. 10%. Rated Voltage: 6.3Vdc                                              ";"";"";"";"";"";"";"";"Murata";"";"";"GRM011R60J152KE01L";"0201 Murata";"";"None";"";"";"https://www.snapeda.com/parts/GRM011R60J152KE01L/Murata/view-part/?ref=snap";"";"";"";"";
"C31";"1uF";"GRM011R60J152KE01L_2_GRM011R60J152KE01L";"GRM011R60J152KE01L_2_CAPC0201X13N";"Check availability";"";"";"In Stock";"https://www.snapeda.com/parts/GRM011R60J152KE01L/Murata/view-part/?ref=eda";"";"                                                      SMD Capacitor X5R(EIA) with Capacitance: 1500pF Tol. 10%. Rated Voltage: 6.3Vdc                                              ";"";"";"";"";"";"";"";"Murata";"";"";"GRM011R60J152KE01L";"0201 Murata";"";"None";"";"";"https://www.snapeda.com/parts/GRM011R60J152KE01L/Murata/view-part/?ref=snap";"";"";"";"";
"C32";"1uF";"GRM011R60J152KE01L_2_GRM011R60J152KE01L";"GRM011R60J152KE01L_2_CAPC0201X13N";"Check availability";"";"";"In Stock";"https://www.snapeda.com/parts/GRM011R60J152KE01L/Murata/view-part/?ref=eda";"";"                                                      SMD Capacitor X5R(EIA) with Capacitance: 1500pF Tol. 10%. Rated Voltage: 6.3Vdc                                              ";"";"";"";"";"";"";"";"Murata";"";"";"GRM011R60J152KE01L";"0201 Murata";"";"None";"";"";"https://www.snapeda.com/parts/GRM011R60J152KE01L/Murata/view-part/?ref=snap";"";"";"";"";
"C33";"22uF";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_CC0402";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";"";"";
"C34";"0.1uF ";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C37";"1uF";"GRM011R60J152KE01L_2_GRM011R60J152KE01L";"GRM011R60J152KE01L_2_CAPC0201X13N";"Check availability";"";"";"In Stock";"https://www.snapeda.com/parts/GRM011R60J152KE01L/Murata/view-part/?ref=eda";"";"                                                      SMD Capacitor X5R(EIA) with Capacitance: 1500pF Tol. 10%. Rated Voltage: 6.3Vdc                                              ";"";"";"";"";"";"";"";"Murata";"";"";"GRM011R60J152KE01L";"0201 Murata";"";"None";"";"";"https://www.snapeda.com/parts/GRM011R60J152KE01L/Murata/view-part/?ref=snap";"";"";"";"";
"C38";"1uF";"GRM011R60J152KE01L_2_GRM011R60J152KE01L";"GRM011R60J152KE01L_2_CAPC0201X13N";"Check availability";"";"";"In Stock";"https://www.snapeda.com/parts/GRM011R60J152KE01L/Murata/view-part/?ref=eda";"";"                                                      SMD Capacitor X5R(EIA) with Capacitance: 1500pF Tol. 10%. Rated Voltage: 6.3Vdc                                              ";"";"";"";"";"";"";"";"Murata";"";"";"GRM011R60J152KE01L";"0201 Murata";"";"None";"";"";"https://www.snapeda.com/parts/GRM011R60J152KE01L/Murata/view-part/?ref=snap";"";"";"";"";
"C39";"10uF";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C42";"0.1uF";"GRM011R60J152KE01L_2_GRM011R60J152KE01L";"GRM011R60J152KE01L_2_CAPC0201X13N";"Check availability";"";"";"In Stock";"https://www.snapeda.com/parts/GRM011R60J152KE01L/Murata/view-part/?ref=eda";"";"                                                      SMD Capacitor X5R(EIA) with Capacitance: 1500pF Tol. 10%. Rated Voltage: 6.3Vdc                                              ";"";"";"";"";"";"";"";"Murata";"";"";"GRM011R60J152KE01L";"0201 Murata";"";"None";"";"";"https://www.snapeda.com/parts/GRM011R60J152KE01L/Murata/view-part/?ref=snap";"";"";"";"";
"C43";"4.7uF";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_CC0402";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";"";"";
"D2";"ESP32_C6_LIBRARY_5_MBR0530";"ESP32_C6_LIBRARY_5_MBR0530";"ESP32_C6_LIBRARY_5_SOD3716X135N";"ON SEMICONDUCTOR - MBR0530 - DIODE, SCHOTTKY, 0.5A, 30V, SOD-123";"";"";"In Stock";"https://www.snapeda.com/parts/MBR0530/Onsemi/view-part/?ref=eda";"";" Diode Schottky 30 V 500mA Surface Mount SOD-123 ";"";"";"";"";"";"";"";"ON Semiconductor";"";"";"MBR0530";"SOD-123-2 ON Semiconductor";"";"None";"";"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=179458&manufacturer=ON Semiconductor&part_name=MBR0530&search_term=None";"https://www.snapeda.com/parts/MBR0530/Onsemi/view-part/?ref=snap";"";"";"";"";
"D3";"USBLC6-2SC6Y";"ESP32_C6_LIBRARY_3_USBLC6-2SC6Y";"ESP32_C6_LIBRARY_3_SOT95P280X145-6N";"Low Cap. ESD Protection Auto SOT-23-6 STMicroelectronics USBLC6-2SC6Y, Dual Uni-Directional TVS Diode Array, 6-Pin SOT-23";"";"";"In Stock";"https://www.snapeda.com/parts/USBLC6-2SC6Y/STMicroelectronics/view-part/?ref=eda";"";" 17V Clamp 5A (8/20µs) Ipp Tvs Diode Surface Mount SOT-23-6 ";"";"";"";"";"";"";"";"STMicroelectronics";"";"";"USBLC6-2SC6Y";"SOT-23-6 STMicroelectronics";"";"None";"";"";"https://www.snapeda.com/parts/USBLC6-2SC6Y/STMicroelectronics/view-part/?ref=snap";"";"";"";"";
"D4";"ESP32_C6_LIBRARY_5_MBR0530";"ESP32_C6_LIBRARY_5_MBR0530";"ESP32_C6_LIBRARY_5_SOD3716X135N";"ON SEMICONDUCTOR - MBR0530 - DIODE, SCHOTTKY, 0.5A, 30V, SOD-123";"";"";"In Stock";"https://www.snapeda.com/parts/MBR0530/Onsemi/view-part/?ref=eda";"";" Diode Schottky 30 V 500mA Surface Mount SOD-123 ";"";"";"";"";"";"";"";"ON Semiconductor";"";"";"MBR0530";"SOD-123-2 ON Semiconductor";"";"None";"";"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=179458&manufacturer=ON Semiconductor&part_name=MBR0530&search_term=None";"https://www.snapeda.com/parts/MBR0530/Onsemi/view-part/?ref=snap";"";"";"";"";
"D5";"ESP32_C6_LIBRARY_5_MBR0530";"ESP32_C6_LIBRARY_5_MBR0530";"ESP32_C6_LIBRARY_5_SOD3716X135N";"ON SEMICONDUCTOR - MBR0530 - DIODE, SCHOTTKY, 0.5A, 30V, SOD-123";"";"";"In Stock";"https://www.snapeda.com/parts/MBR0530/Onsemi/view-part/?ref=eda";"";" Diode Schottky 30 V 500mA Surface Mount SOD-123 ";"";"";"";"";"";"";"";"ON Semiconductor";"";"";"MBR0530";"SOD-123-2 ON Semiconductor";"";"None";"";"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=179458&manufacturer=ON Semiconductor&part_name=MBR0530&search_term=None";"https://www.snapeda.com/parts/MBR0530/Onsemi/view-part/?ref=snap";"";"";"";"";
"DMG2305UX-7";"20V/4.2A/52mΩ/1.4W";"ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_MOSFET_PCH-DMG2305UX-7";"ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3";"P-channel MOSFETs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRAN-14388";"";"";"";"";"";"20V/4.2A/52mΩ/1.4W";
"EPD_C1";"1uF/50V";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_CC0402";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";"";"";
"EPD_C2";"1uF/50V";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_CC0402";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";"";"";
"EPD_C5";"0.1uF/50V";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_CC0402";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";"";"";
"EPD_C6";"1uF/50V";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_CC0402";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";"";"";
"EPD_C7";"1uF/50V";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_CC0402";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";"";"";
"EPD_C8";"1uF/50V";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_CC0402";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";"";"";
"EPD_C9";"1uF/50V";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_CC0402";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";"";"";
"EPD_C10";"1uF/50V";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_CC0402";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";"";"";
"EPD_C11";"1uF/50V";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_CC0402";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";"";"";
"EPD_C12";"1uF/50V";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_CC0402";"ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";"";"";
"IC1";"BQ25180YBGR";"BQ25180YBGR_BQ25180YBGR";"BQ25180YBGR_BGA8C40P2X4_100X155X50";"Charger IC Lithium Ion/Polymer, Lithium Iron Phosphate 8-DSBGA (1.6x1.1)";"BQ25180YBGR";"https://www.arrow.com/en/products/bq25180ybgr/texas-instruments?utm_currency=USD&region=nac";"";"";"";"Charger IC Lithium Ion/Polymer, Lithium Iron Phosphate 8-DSBGA (1.6x1.1)";"";"";"";"0.5mm";"";"Texas Instruments";"BQ25180YBGR";"";"595-BQ25180YBGR";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/BQ25180YBGR?qs=doiCPypUmgEWjAK%252BJAX6Tw%3D%3D";"";"";"";"";"";"";"";"";"";"";"";
"IC2";"DRV2605YZFR";"DRV2605YZFR_DRV2605YZFR";"DRV2605YZFR_BGA9C50P3X3_144X144X62";"Haptic Driver for ERM/LRA with Built-In Library and Smart Loop Architecture";"DRV2605YZFR";"https://www.arrow.com/en/products/drv2605yzfr/texas-instruments?region=nac";"";"";"";"Haptic Driver for ERM/LRA with Built-In Library and Smart Loop Architecture";"";"";"";"0.625mm";"";"Texas Instruments";"DRV2605YZFR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC3";"BMA421";"BMA423_BMA423";"BMA423_BMA423";"Accelerometers Triaxial low-g 12bit Acceleration Sensor";"BMA423";"https://www.arrow.com/en/products/bma423/bosch";"";"";"";"Accelerometers Triaxial low-g 12bit Acceleration Sensor";"";"";"";"1mm";"";"BOSCH";"BMA423";"";"262-BMA423";"https://www.mouser.co.uk/ProductDetail/Bosch-Sensortec/BMA423?qs=HXFqYaX1Q2xC%252BSgeGoX3mg%3D%3D";"";"";"";"";"";"";"";"";"";"";"";
"IC9";"RT6160AWSC";"RT6160AWSC_RT6160AWSC";"RT6160AWSC_BGA15C40P3X5_140X230X60";"Buck-Boost Regulator Positive Output Step-Up/Step-Down I2C DC-DC Controller IC 15-WL-CSP (BSC) (1.4x2.3)";"";"";"";"";"";"Buck-Boost Regulator Positive Output Step-Up/Step-Down I2C DC-DC Controller IC 15-WL-CSP (BSC) (1.4x2.3)";"";"";"";"0.6mm";"";"RICHTEK";"RT6160AWSC";"";"835-RT6160AWSC";"https://www.mouser.co.uk/ProductDetail/Richtek/RT6160AWSC?qs=amGC7iS6iy%2FLd9PSoixZXQ%3D%3D";"";"";"";"";"";"";"";"";"";"";"";
"J1";"503480-2400";"503480-2400_503480-2400";"503480-2400_5034802400";"FFC & FPC Connectors 0.5mm FPC RA SMT Dual Contact 24Ckt";"";"";"";"";"";"FFC & FPC Connectors 0.5mm FPC RA SMT Dual Contact 24Ckt";"";"";"";"1.87mm";"";"Molex";"503480-2400";"";"538-503480-2400";"https://www.mouser.co.uk/ProductDetail/Molex/503480-2400?qs=OAhjpuo3Vu7efIoxFh9AOw%3D%3D";"";"";"";"";"";"";"";"";"";"";"";
"J2";"TC2030-IDC";"TC2030-IDC_TC2030-IDC";"TC2030-IDC_TC2030IDC";"CABLE ADAPTER 6 POS";"";"";"";"";"";"CABLE ADAPTER 6 POS";"";"";"";"19mm";"";"Tag Connect";"TC2030-IDC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J4";"KH-TYPE-C-16P";"KH-TYPE-C-16P_KH-TYPE-C-16P";"KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P";"Check availability";"";"";"Not in stock";"https://www.snapeda.com/parts/KH-TYPE-C-16P/Kinghelm/view-part/?ref=eda";"";"                                                                                                    ";"";"";"";"";"";"";"";"kinghelm";"";"";"KH-TYPE-C-16P";"None";"";"None";"";"";"https://www.snapeda.com/parts/KH-TYPE-C-16P/Kinghelm/view-part/?ref=snap";"";"";"";"";
"L1";"3.9nH";"NORDIC_NRF_2_INDUCTOR_0402_L";"NORDIC_NRF_2_RESC0402_L";"Generic chip inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L2";"10µH";"NORDIC_NRF_2_INDUCTOR_0402_L";"NORDIC_NRF_2_RESC0402_L";"Generic chip inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L3";"15nH";"NORDIC_NRF_2_INDUCTOR_0402_L";"NORDIC_NRF_2_RESC0402_L";"Generic chip inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L5";"68uH";"NORDIC_NRF_2_INDUCTOR_0402_L";"NORDIC_NRF_2_RESC0402_L";"Generic chip inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L7";"FTC252012SR47MBCA";"MLP2016SR47MT0S1_FTC252012SR47MBCA";"MLP2016SR47MT0S1_INDC2016X100N";"SMD / SMT Inductors (Coils), L=0.47?H, L x W x T :";"";"";"";"";"";"SMD / SMT Inductors (Coils), L=0.47?H, L x W x T :";"";"";"";"1mm";"https://jlcpcb.com/partdetail/6763488-FTC252012SR47MBCA/C5832368";"TDK";"FTC252012SR47MBCA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
