"Part";"Value";"Device";"Footprint Name";"Detailed Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"CHECK_PRICES";"COPYRIGHT";"DESCRIPTION";"DIGI-KEY_PART_NUMBER_1";"DIGI-KEY_PART_NUMBER_2";"DIGI-KEY_PART_NUMBER_3";"HEIGHT";"JLCPCB";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"SNAPEDA_LINK";"SPICEMODEL";"SPICEPREFIX";"TP_SIGNAL_NAME";"VALUE";
"Q3";"SI1308EDL-T1-GE3";"ESP32_C6_LIBRARY_6_SI1308EDL-T1-GE3";"ESP32_C6_LIBRARY_6_SOT65P210X110-3N";"MOSFET N-Ch 30V 1.5A TrenchFET SC70 Vishay Si1308EDL-T1-GE3 N-channel MOSFET Transistor, 1.5 A, 30 V, 3-Pin SC-70";"";"";"In Stock";"https://www.snapeda.com/parts/SI1308EDL-T1-GE3/Vishay+Siliconix/view-part/?ref=eda";"";" Si1308EDL-T1-GE3 N-channel MOSFET Transistor, 1.5 A, 30 V, 3-Pin SC-70 | Siliconix / Vishay SI1308EDL-T1-GE3 ";"";"";"";"";"";"";"";"Vishay Siliconix";"";"";"SI1308EDL-T1-GE3";"SOT-323 Vishay Semiconductor";"";"None";"";"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=274603&manufacturer=Vishay Siliconix&part_name=SI1308EDL-T1-GE3&search_term=None";"https://www.snapeda.com/parts/SI1308EDL-T1-GE3/Vishay+Siliconix/view-part/?ref=snap";"";"";"";"";
"R1_EP_DR";"0.47";"ERA-1AEB3401C_CPF0201D7K68C1";"ERA-1AEB3401C_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R1_USB";"5K1";"CPF0201D7K68C1_CPF0201D7K68C1";"CPF0201D7K68C1_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R2";"0";"CPF0201D7K68C1_CPF0201D7K68C1";"CPF0201D7K68C1_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R2_EP_DR";"10K";"ERA-1AEB3401C_CPF0201D7K68C1";"ERA-1AEB3401C_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R2_USB";"5K1";"ERA-1AEB3401C_CPF0201D7K68C1";"ERA-1AEB3401C_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R3";"0";"ERA-1AEB3401C_CPF0201D7K68C1";"ERA-1AEB3401C_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R4";"0";"CPF0201D7K68C1_CPF0201D7K68C1";"CPF0201D7K68C1_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R5";"10k";"CPF0201D7K68C1_CPF0201D7K68C1";"CPF0201D7K68C1_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R7";"10k";"CPF0201D7K68C1_CPF0201D7K68C1";"CPF0201D7K68C1_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R8";"10k";"CPF0201D7K68C1_CPF0201D7K68C1";"CPF0201D7K68C1_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R9";"10K";"ERA-1AEB3401C_CPF0201D7K68C1";"ERA-1AEB3401C_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R17";"3K3";"CPF0201D7K68C1_CPF0201D7K68C1";"CPF0201D7K68C1_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R18";"3K3";"CPF0201D7K68C1_CPF0201D7K68C1";"CPF0201D7K68C1_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_PWR_EPD";"10K";"CPF0201D7K68C1_CPF0201D7K68C1";"CPF0201D7K68C1_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_TYPE_SEL";"2.2";"ERA-1AEB3401C_CPF0201D7K68C1";"ERA-1AEB3401C_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SJ1";"";"ESP32_C6_LIBRARY_7_JUMPER_SJ";"ESP32_C6_LIBRARY_7_JUMPER_SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";
"SW_DN";"2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN";"2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN";"2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN";"";"";"";"";"";"Copyright (C) 2025 Ultra Librarian. All rights reserved.";"";"P123437TR-ND";"P123437CT-ND";"P123437DKR-ND";"";"";"Panasonic";"EVP-AKE31A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SW_ENT";"2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN";"2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN";"2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN";"";"";"";"";"";"Copyright (C) 2025 Ultra Librarian. All rights reserved.";"";"P123437TR-ND";"P123437CT-ND";"P123437DKR-ND";"";"";"Panasonic";"EVP-AKE31A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SW_UP";"2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN";"2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN";"2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN";"";"";"";"";"";"Copyright (C) 2025 Ultra Librarian. All rights reserved.";"";"P123437TR-ND";"P123437CT-ND";"P123437DKR-ND";"";"";"Panasonic";"EVP-AKE31A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_3.3V";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TP20R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"TP_3V3";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TP20R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"TP_BAT_GND";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TP20R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"TP_GND";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TP20R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"TP_ON";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TP20R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"TP_OP";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TP20R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"TP_RESET";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TP20R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"TP_SCL";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TP20R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"TP_SDA";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TP20R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"TP_SWDCLK";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TP20R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"TP_SWDIO";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TP20R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"TP_SWO";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TP20R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"TP_VBAT";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TP20R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"TP_VREG";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TP20R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"U1";"NRF52840_QF";"NORDIC_NRF_4_NRF52840_QF";"NORDIC_NRF_4_AQFN50P700X700X85_HS-74N";"nRF52840";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U3";"MAX17048G+T10";"ESP32_C6_LIBRARY_MAX17048G+T10";"ESP32_C6_LIBRARY_SON50P200X200X80-9N";"Check availability";"";"";"In Stock";"https://www.snapeda.com/parts/MAX17048G+T10/Analog+Devices/view-part/?ref=eda";"";" 3µA 1-Cell/2-Cell Fuel Gauge with ModelGauge ";"";"";"";"";"";"";"";"Analog Devices";"";"";"MAX17048G+T10";"TDFN-8 Maxim";"";"None";"";"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=329239&manufacturer=Analog Devices&part_name=MAX17048G+T10&search_term=None";"https://www.snapeda.com/parts/MAX17048G+T10/Analog+Devices/view-part/?ref=snap";"";"";"";"";
"X1";"32MHz";"NORDIC_NRF_XTAL_32MHZ";"NORDIC_NRF_BT-XTAL_2016_N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X2";"32.768kHz ";"NORDIC_NRF_1_XTAL_32KHZ";"NORDIC_NRF_1_XTAL_3215_N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
